config,n_classes,total_pix,pix_count,weights,total_fov_pix,fov_pix_count,fov_weights
layers_all,2,65536000,"{0: 6036574, 1: 10859426, 2: 48640000}","{0: 10.856489127773468, 1: 6.034941441656309, 2: 1.3473684210526315}",16896000,"{0: 6036574, 1: 10859426}","{0: 2.7989386032540975, 1: 1.5558833404270171}"
layers_all,3,65536000,"{0: 3477432, 1: 10848756, 2: 2569812, 3: 48640000}","{0: 18.8460910234909, 1: 6.04087694478519, 2: 25.50225463963901, 3: 1.3473684210526315}",16896000,"{0: 3477432, 1: 10848756, 2: 2569812}","{0: 4.858757841993747, 1: 1.5574135873274317, 2: 6.574800024281932}"
layers_none,2,65536000,"{0: 9491568, 1: 7404432, 2: 48640000}","{0: 6.9046547419773, 1: 8.850915235631849, 2: 1.3473684210526315}",16896000,"{0: 9491568, 1: 7404432}","{0: 1.7801063006660227, 1: 2.2818765841863358}"
layers_none,3,65536000,"{0: 4957594, 1: 7398741, 2: 4539665, 3: 48640000}","{0: 13.219315659975383, 1: 8.857723226154288, 2: 14.436307524894458, 3: 1.3473684210526315}",16896000,"{0: 4957594, 1: 7398741, 2: 4539665}","{0: 3.4081048185874034, 1: 2.2836317692429025, 2: 3.7218605337618524}"
traffic,2,98304000,"{0: 9901020, 1: 15442980, 2: 72960000}","{0: 9.928674015404473, 1: 6.365610782374905, 2: 1.3473684210526315}",25344000,"{0: 9901020, 1: 15442980}","{0: 2.5597362695964656, 1: 1.64113402983103}"
traffic,3,98304000,"{0: 5828987, 1: 15412586, 2: 4102427, 3: 72960000}","{0: 16.864679917797037, 1: 6.378163923951503, 2: 23.962400793481518, 3: 1.3473684210526315}",25344000,"{0: 5828987, 1: 15412586, 2: 4102427}","{0: 4.347925291307049, 1: 1.644370386643747, 2: 6.1778064545694535}"
traffic,4,98304000,"{0: 5515560, 1: 15324090, 2: 4140927, 3: 363423, 4: 72960000}","{0: 17.823031568870615, 1: 6.414997562661143, 2: 23.73961192747421, 3: 270.49471277271937, 4: 1.3473684210526315}",25344000,"{0: 5515560, 1: 15324090, 2: 4140927, 3: 363423}","{0: 4.595000326349455, 1: 1.653866559123576, 2: 6.120368700051945, 3: 69.73691813671672}"
traffic,5,98304000,"{0: 5486439, 1: 12699137, 2: 3998736, 3: 337657, 4: 39216, 5: 75742815}","{0: 17.91763291271442, 1: 7.740998463123912, 2: 24.583768470836784, 3: 291.135679106312, 4: 2506.731946144431, 5: 1.297865678744578}",22561185,"{0: 5486439, 1: 12699137, 2: 3998736, 3: 337657, 4: 39216}","{0: 4.1121727590519095, 1: 1.7765919841639632, 2: 5.642079147010455, 3: 66.81687333595927, 4: 575.3056150550796}"
traffic,6,98304000,"{0: 5486439, 1: 12580871, 2: 4018818, 3: 345430, 4: 39318, 5: 2873124, 6: 72960000}","{0: 17.91763291271442, 1: 7.81376742516476, 2: 24.460923584994394, 3: 284.5844309990447, 4: 2500.228902792614, 5: 34.21502169763644, 6: 1.3473684210526315}",25344000,"{0: 5486439, 1: 12580871, 2: 4018818, 3: 345430, 4: 39318, 5: 2873124}","{0: 4.619389735309187, 1: 2.01448691430029, 2: 6.306331861756367, 3: 73.3694236169412, 4: 644.5902640012208, 5: 8.821060281421895}"
